2021-06-27 21:06:208 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:729 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (0857f1f1f377c9931c0e1d69ef955c7f)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:841 INFO  AddCustomerPage :36 - clicking add customer buttonProxy element for: DefaultElementLocator 'By.xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]'
2021-06-27 21:06:194 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:625 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (2c572d0683241760d744085c78c05701)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:678 INFO  AddCustomerPage :36 - clicking add customer buttonProxy element for: DefaultElementLocator 'By.xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]'
2021-06-27 21:06:822 INFO  AddCustomerPage :25 - Enter first name[[ChromeDriver: chrome on WINDOWS (2c572d0683241760d744085c78c05701)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 21:06:14 INFO  AddCustomerPage :29 - Enter last name[[ChromeDriver: chrome on WINDOWS (2c572d0683241760d744085c78c05701)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 21:06:195 INFO  AddCustomerPage :33 - Enter postcode[[ChromeDriver: chrome on WINDOWS (2c572d0683241760d744085c78c05701)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 21:06:217 INFO  AddCustomerPage :36 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (2c572d0683241760d744085c78c05701)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-27 21:06:146 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:781 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (492c83b25c8f74d61ff8949b381f1d6f)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:895 INFO  AddCustomerPage :36 - clicking add customer buttonProxy element for: DefaultElementLocator 'By.xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]'
2021-06-27 21:06:939 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:824 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (8884e92427543a082022efd5f07808c7)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:555 INFO  AddCustomerPage :36 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (8884e92427543a082022efd5f07808c7)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-27 21:06:239 INFO  AddCustomerPage :25 - Enter first name[[ChromeDriver: chrome on WINDOWS (8884e92427543a082022efd5f07808c7)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 21:06:380 INFO  AddCustomerPage :29 - Enter last name[[ChromeDriver: chrome on WINDOWS (8884e92427543a082022efd5f07808c7)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 21:06:569 INFO  AddCustomerPage :33 - Enter postcode[[ChromeDriver: chrome on WINDOWS (8884e92427543a082022efd5f07808c7)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 21:06:598 INFO  AddCustomerPage :36 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (8884e92427543a082022efd5f07808c7)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-27 21:06:450 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:213 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (a0339f10cdad2501034214e3aa32a6c6)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:309 INFO  AddCustomerPage :36 - clicking add customer buttonProxy element for: DefaultElementLocator 'By.xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]'
2021-06-27 21:06:858 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:453 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (7e0d8af68c6028d6bac5cca8a44f17f3)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:554 INFO  BankManagerLoginPage :21 - Clicking on add customer button:[[ChromeDriver: chrome on WINDOWS (7e0d8af68c6028d6bac5cca8a44f17f3)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 21:06:27 INFO  AddCustomerPage :25 - Enter first name[[ChromeDriver: chrome on WINDOWS (7e0d8af68c6028d6bac5cca8a44f17f3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 21:06:176 INFO  AddCustomerPage :29 - Enter last name[[ChromeDriver: chrome on WINDOWS (7e0d8af68c6028d6bac5cca8a44f17f3)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 21:06:366 INFO  AddCustomerPage :33 - Enter postcode[[ChromeDriver: chrome on WINDOWS (7e0d8af68c6028d6bac5cca8a44f17f3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 21:06:401 INFO  AddCustomerPage :36 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (7e0d8af68c6028d6bac5cca8a44f17f3)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-27 21:06:735 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:50 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (7bdd4e89159bd284dcfdf49a29c0987d)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-27 21:06:338 INFO  BankManagerLoginPage :21 - Clicking on add customer button:[[ChromeDriver: chrome on WINDOWS (7bdd4e89159bd284dcfdf49a29c0987d)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 21:06:836 INFO  AddCustomerPage :25 - Enter first name[[ChromeDriver: chrome on WINDOWS (7bdd4e89159bd284dcfdf49a29c0987d)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 21:06:63 INFO  AddCustomerPage :29 - Enter last name[[ChromeDriver: chrome on WINDOWS (7bdd4e89159bd284dcfdf49a29c0987d)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 21:06:273 INFO  AddCustomerPage :33 - Enter postcode[[ChromeDriver: chrome on WINDOWS (7bdd4e89159bd284dcfdf49a29c0987d)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 21:06:305 INFO  AddCustomerPage :36 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (7bdd4e89159bd284dcfdf49a29c0987d)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-28 11:06:793 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 11:06:628 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (205edb1a4fa37205189895899da31567)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-28 11:06:689 INFO  AddCustomerPage :36 - clicking add customer buttonProxy element for: DefaultElementLocator 'By.xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]'
2021-06-28 11:06:725 INFO  AddCustomerPage :25 - Enter first name[[ChromeDriver: chrome on WINDOWS (205edb1a4fa37205189895899da31567)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-28 11:06:876 INFO  AddCustomerPage :29 - Enter last name[[ChromeDriver: chrome on WINDOWS (205edb1a4fa37205189895899da31567)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 11:06:05 INFO  AddCustomerPage :33 - Enter postcode[[ChromeDriver: chrome on WINDOWS (205edb1a4fa37205189895899da31567)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-28 11:06:21 INFO  AddCustomerPage :36 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (205edb1a4fa37205189895899da31567)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-28 11:06:24 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 11:06:969 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (508c59da0047d476ab43b7860f237714)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-28 11:06:57 INFO  AddCustomerPage :36 - clicking add customer buttonProxy element for: DefaultElementLocator 'By.xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]'
2021-06-28 11:06:812 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 11:06:342 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (a7bf5838ac31db11338597119edfba61)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-28 11:06:654 INFO  BankManagerLoginPage :21 - Clicking on add customer button:[[ChromeDriver: chrome on WINDOWS (a7bf5838ac31db11338597119edfba61)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 11:06:653 INFO  AddCustomerPage :25 - Enter first name[[ChromeDriver: chrome on WINDOWS (a7bf5838ac31db11338597119edfba61)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-28 11:06:779 INFO  AddCustomerPage :29 - Enter last name[[ChromeDriver: chrome on WINDOWS (a7bf5838ac31db11338597119edfba61)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 11:06:920 INFO  AddCustomerPage :33 - Enter postcode[[ChromeDriver: chrome on WINDOWS (a7bf5838ac31db11338597119edfba61)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-28 11:06:944 INFO  AddCustomerPage :36 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (a7bf5838ac31db11338597119edfba61)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-28 11:06:593 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 11:06:710 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (b3ffd6b45252e395ce81a28fc1ec92b8)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-28 11:06:23 INFO  BankManagerLoginPage :21 - Clicking on add customer button:[[ChromeDriver: chrome on WINDOWS (b3ffd6b45252e395ce81a28fc1ec92b8)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 11:06:458 INFO  AddCustomerPage :26 - Enter first name[[ChromeDriver: chrome on WINDOWS (b3ffd6b45252e395ce81a28fc1ec92b8)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-28 11:06:592 INFO  AddCustomerPage :30 - Enter last name[[ChromeDriver: chrome on WINDOWS (b3ffd6b45252e395ce81a28fc1ec92b8)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 11:06:725 INFO  AddCustomerPage :34 - Enter postcode[[ChromeDriver: chrome on WINDOWS (b3ffd6b45252e395ce81a28fc1ec92b8)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-28 11:06:741 INFO  AddCustomerPage :37 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (b3ffd6b45252e395ce81a28fc1ec92b8)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2021-06-28 11:06:174 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 11:06:212 INFO  HomePage :28 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (f363959ef8f8e1ec077032d64d3bdbe7)] -> xpath: //button[text()='Bank Manager Login']]
2021-06-28 11:06:489 INFO  BankManagerLoginPage :21 - Clicking on add customer button:[[ChromeDriver: chrome on WINDOWS (f363959ef8f8e1ec077032d64d3bdbe7)] -> xpath: //button[@ng-click='addCust()']]
2021-06-28 11:06:984 INFO  AddCustomerPage :26 - Enter first name[[ChromeDriver: chrome on WINDOWS (f363959ef8f8e1ec077032d64d3bdbe7)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-28 11:06:117 INFO  AddCustomerPage :30 - Enter last name[[ChromeDriver: chrome on WINDOWS (f363959ef8f8e1ec077032d64d3bdbe7)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 11:06:252 INFO  AddCustomerPage :34 - Enter postcode[[ChromeDriver: chrome on WINDOWS (f363959ef8f8e1ec077032d64d3bdbe7)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
